date,NDVI,NDWI,NBR,MNDWI,BSI,NDTI,month_num
2025-01-06,0.4622,-0.3776,0.4347,-0.1647,-0.1752,0.2421,1
2025-01-13,0.7166,-0.6171,0.5387,-0.3871,-0.27,0.2907,1
2025-01-23,0.7513,-0.6599,0.549,-0.4277,-0.3024,0.283,1
2025-01-26,0.7272,-0.6344,0.5763,-0.3547,-0.3239,0.2933,1
2025-01-28,0.7294,-0.649,0.5775,-0.3896,-0.3123,0.3013,1
2025-01-31,0.521,-0.4526,0.5749,-0.1302,-0.2535,0.3029,1
2025-02-02,0.6084,-0.5293,0.5535,-0.2218,-0.284,0.2699,2
2025-02-05,0.7714,-0.6913,0.5707,-0.4587,-0.3256,0.2948,2
2025-02-12,0.7566,-0.6902,0.5595,-0.4586,-0.3239,0.2781,2
2025-02-17,0.7665,-0.7002,0.5768,-0.4769,-0.3289,0.3054,2
2025-02-20,0.6596,-0.5908,0.5757,-0.2852,-0.2947,0.2727,2
2025-03-02,0.7626,-0.698,0.6187,-0.4145,-0.3705,0.3108,3
2025-03-04,0.7467,-0.6864,0.575,-0.4278,-0.3468,0.272,3
2025-03-07,0.7265,-0.6717,0.5562,-0.414,-0.337,0.268,3
2025-03-09,0.6992,-0.6472,0.5492,-0.3878,-0.3109,0.2701,3
2025-03-12,0.7007,-0.6558,0.5295,-0.425,-0.2897,0.2624,3
2025-03-14,0.7159,-0.6516,0.569,-0.368,-0.3314,0.2644,3
2025-03-17,0.7447,-0.6789,0.561,-0.4347,-0.3313,0.2799,3
2025-03-22,0.7298,-0.6734,0.5489,-0.4515,-0.2919,0.2852,3
2025-03-24,0.6674,-0.6082,0.513,-0.3628,-0.2636,0.2506,3
2025-03-31,0.6392,-0.6206,0.4568,-0.439,-0.1799,0.2315,3
2025-04-01,0.5894,-0.5742,0.4651,-0.3659,-0.173,0.2357,4
2025-04-03,0.5153,-0.5137,0.4397,-0.3,-0.1499,0.215,4
2025-04-08,0.4168,-0.5118,0.2881,-0.4423,0.0256,0.2009,4
2025-04-13,0.3378,-0.4439,0.2189,-0.4065,0.0419,0.1733,4
2025-04-16,0.3357,-0.4987,0.1656,-0.5147,0.1168,0.1804,4
2025-04-18,0.2796,-0.4093,0.1682,-0.4231,0.1032,0.1814,4
2025-04-20,0.2565,-0.4163,0.1778,-0.4269,0.1331,0.1867,4
2025-04-21,0.232,-0.3617,0.1565,-0.3932,0.1199,0.1912,4
2025-04-23,0.2889,-0.424,0.1425,-0.4436,0.0981,0.1609,4
2025-04-26,0.2851,-0.4211,0.1218,-0.4486,0.1023,0.1502,4
2025-04-28,0.2635,-0.3968,0.1081,-0.4423,0.1245,0.1587,4
2025-05-01,0.2583,-0.4168,0.1017,-0.4749,0.1606,0.1676,5
2025-05-03,0.2412,-0.3701,0.0696,-0.4229,0.1284,0.1268,5
2025-05-11,0.2658,-0.3558,-0.0306,-0.4692,0.1534,0.0954,5
2025-05-13,0.2242,-0.2982,-0.0339,-0.3985,0.1331,0.0767,5
2025-05-18,0.2293,-0.3155,-0.0477,-0.4317,0.1599,0.0816,5
2025-05-21,0.2555,-0.3838,-0.0483,-0.505,0.2117,0.0905,5
2025-05-23,0.2378,-0.3058,-0.062,-0.4163,0.1369,0.057,5
2025-05-26,0.2368,-0.3037,-0.0769,-0.4244,0.1407,0.0533,5
2025-05-31,0.2701,-0.3924,-0.0243,-0.5007,0.1962,0.0934,5
2025-06-02,0.2468,-0.312,-0.0495,-0.4161,0.1328,0.0608,6
2025-06-05,0.2647,-0.3258,-0.044,-0.4308,0.1266,0.0678,6
2025-06-10,0.2305,-0.2958,-0.0103,-0.3773,0.1275,0.077,6
2025-06-12,0.2564,-0.3608,0.0001,-0.4348,0.1484,0.0728,6
2025-07-25,0.565,-0.4867,0.4488,-0.2859,-0.1809,0.2373,7
2025-08-21,0.7752,-0.6713,0.5747,-0.4587,-0.2907,0.3205,8
2025-09-13,0.673,-0.5739,0.5156,-0.3504,-0.2443,0.2796,9
2025-09-15,0.6484,-0.5464,0.5236,-0.3139,-0.2323,0.2931,9
2025-09-20,0.6801,-0.6033,0.4618,-0.4311,-0.1903,0.2575,9
2025-09-23,0.6466,-0.5872,0.4239,-0.4445,-0.15,0.2525,9
2025-09-25,0.6332,-0.5914,0.4159,-0.4657,-0.1187,0.2603,9
2025-09-27,0.6163,-0.5717,0.3823,-0.4668,-0.0988,0.2534,9
2025-09-28,0.5584,-0.5016,0.3987,-0.3749,-0.106,0.2633,9
2025-09-30,0.6077,-0.5744,0.3442,-0.4956,-0.0695,0.2421,9
2025-10-05,0.5526,-0.5337,0.3127,-0.4741,-0.0288,0.2382,10
2025-10-10,0.4815,-0.4824,0.2261,-0.4589,0.0063,0.1954,10
2025-10-13,0.4637,-0.492,0.1801,-0.4977,0.0435,0.1844,10
2025-10-15,0.4032,-0.4394,0.1634,-0.4614,0.07,0.1901,10
2025-10-17,0.3815,-0.4315,0.1176,-0.4751,0.0891,0.1704,10
2025-10-18,0.3883,-0.4445,0.1192,-0.492,0.0995,0.1779,10
2025-10-20,0.358,-0.4202,0.0879,-0.475,0.1021,0.1547,10
2025-10-23,0.3533,-0.4284,0.0617,-0.5006,0.1233,0.1502,10
2025-10-25,0.3141,-0.3762,0.0574,-0.4567,0.1219,0.1537,10
2025-10-28,0.3065,-0.3587,0.0734,-0.4223,0.1055,0.1489,10
2025-10-30,0.2916,-0.338,0.0143,-0.4232,0.1061,0.1133,10
2025-11-02,0.2241,-0.2611,0.0301,-0.3333,0.0881,0.1111,11
2025-11-04,0.2476,-0.2869,0.0181,-0.3732,0.1031,0.1149,11
2025-11-06,0.2825,-0.3378,0.0006,-0.4281,0.1195,0.1031,11
2025-11-07,0.3009,-0.3639,-0.0012,-0.4568,0.1292,0.1061,11
2025-11-09,0.2965,-0.3578,-0.0059,-0.4369,0.1122,0.0835,11
2025-11-12,0.3009,-0.3688,-0.0276,-0.4536,0.1154,0.0684,11
2025-11-14,0.2729,-0.3214,-0.001,-0.3976,0.0968,0.0842,11
2025-11-17,0.2554,-0.2799,0.0388,-0.3298,0.0671,0.0955,11
2025-11-19,0.2919,-0.3333,-0.0152,-0.4036,0.0876,0.0622,11
2025-11-22,0.3633,-0.4529,0.013,-0.5106,0.1201,0.0884,11
2025-11-24,0.3213,-0.3519,0.0623,-0.391,0.0692,0.1071,11
2025-11-26,0.3531,-0.3845,0.0714,-0.4132,0.0616,0.1038,11
2025-11-27,0.3681,-0.3959,0.0823,-0.4293,0.07,0.1206,11
2025-11-29,0.4076,-0.4318,0.1018,-0.44,0.0402,0.1078,11
2025-12-02,0.4086,-0.4186,0.1448,-0.4008,0.0134,0.125,12
2025-12-07,0.4526,-0.4425,0.1953,-0.4128,0.0007,0.1611,12
2025-12-09,0.4262,-0.4008,0.2117,-0.3341,-0.0497,0.1405,12
2025-12-16,0.5264,-0.4746,0.2929,-0.3803,-0.0771,0.187,12
2025-12-17,0.3687,-0.3128,0.3624,-0.1446,-0.1205,0.2079,12
2025-12-22,0.5054,-0.4316,0.3572,-0.2798,-0.1359,0.2066,12
2025-12-24,0.6269,-0.5393,0.4339,-0.3618,-0.1777,0.2471,12
2026-01-05,0.6751,-0.5866,0.4935,-0.3741,-0.2311,0.264,1
2026-01-11,0.2907,-0.2397,0.3791,-0.0179,-0.1647,0.1799,1
2026-01-18,0.71,-0.6115,0.5483,-0.3527,-0.2952,0.281,1
2026-01-21,0.7331,-0.6443,0.5399,-0.4097,-0.2944,0.279,1
2026-01-28,0.4708,-0.3952,0.5068,-0.094,-0.2442,0.2437,1
2026-02-05,0.7268,-0.6415,0.5915,-0.3654,-0.322,0.3151,2
2026-02-07,0.7189,-0.6432,0.545,-0.3993,-0.2954,0.2745,2
2026-02-12,0.7407,-0.6684,0.5678,-0.4268,-0.315,0.298,2
2026-02-15,0.7373,-0.6714,0.5643,-0.433,-0.3105,0.2955,2
2026-02-20,0.745,-0.6788,0.5619,-0.4363,-0.3284,0.2859,2
2026-02-22,0.7388,-0.6793,0.5699,-0.4375,-0.3196,0.2981,2
2026-02-25,0.7592,-0.7064,0.5814,-0.4713,-0.3357,0.3017,2
2026-02-27,0.7149,-0.6603,0.5517,-0.397,-0.3179,0.2584,2
2026-03-02,0.7451,-0.6908,0.5628,-0.4448,-0.3377,0.274,3
2026-03-04,0.715,-0.6589,0.5497,-0.4141,-0.3025,0.2778,3
2026-03-06,0.6514,-0.5891,0.533,-0.3111,-0.2791,0.2632,3
2026-03-07,0.5739,-0.5122,0.5386,-0.2107,-0.2536,0.2736,3
2026-03-16,0.5723,-0.5274,0.4448,-0.3082,-0.1943,0.2134,3
2026-03-22,0.7105,-0.6584,0.4767,-0.4864,-0.2197,0.2532,3
2026-04-05,0.3644,-0.4264,0.2006,-0.4,0.0378,0.1685,4
2026-04-06,0.3657,-0.4308,0.1972,-0.4125,0.0435,0.1749,4
2026-04-11,0.3285,-0.4149,0.1368,-0.4263,0.0721,0.1476,4
2026-04-13,0.3153,-0.4115,0.1387,-0.4235,0.0759,0.1503,4
2026-04-18,0.2856,-0.403,0.0734,-0.4558,0.1183,0.1311,4
2026-04-21,0.2747,-0.3928,0.0682,-0.4476,0.1179,0.1304,4
2026-04-23,0.2586,-0.3796,0.0684,-0.4471,0.1359,0.1443,4
2026-04-25,0.2513,-0.3828,0.0605,-0.4562,0.149,0.1385,4
2026-04-26,0.2646,-0.3843,0.0726,-0.4464,0.1272,0.1405,4
2026-05-01,0.2582,-0.3702,0.0358,-0.4441,0.1262,0.1157,5
2026-05-06,0.2515,-0.3364,0.012,-0.4244,0.1272,0.1081,5
2026-05-08,0.1671,-0.2004,-0.0118,-0.2812,0.0757,0.0747,5
2026-05-11,0.1699,-0.1977,-0.044,-0.3001,0.0866,0.0664,5
2026-05-13,0.2462,-0.3167,-0.0203,-0.4167,0.1295,0.0896,5
2026-05-15,0.2669,-0.3435,-0.0387,-0.4543,0.1399,0.0764,5
2026-05-16,0.2609,-0.3345,-0.038,-0.4439,0.138,0.0793,5
2026-05-18,0.2631,-0.3359,-0.0334,-0.4318,0.127,0.0674,5
2026-05-21,0.2327,-0.3006,-0.0464,-0.396,0.1245,0.0555,5
2026-05-23,0.2863,-0.3791,0.0007,-0.4678,0.137,0.0857,5
2026-05-26,0.268,-0.3352,-0.0129,-0.4177,0.1151,0.0738,5
