system:index,BSI,NDBI,NDVI,SAVI,point_id,.geo
0,-0.11907289466488463,-0.19702244416546089,0.5060422971945727,0.3023465671037175,0,"{""type"":""Point"",""coordinates"":[76.303787,30.750836999999997]}"
1,0.10392713120922777,0.06627497100139514,0.163567134999674,0.09956028071736805,1,"{""type"":""Point"",""coordinates"":[76.366973,30.860529]}"
2,-0.021874443657736622,-0.10828517970877177,0.3602396195019197,0.2097228102293321,2,"{""type"":""Point"",""coordinates"":[76.354353,30.77359600000001]}"
3,0.12222053231702418,0.11088455480211312,0.20012234397793982,0.1187050589140438,3,"{""type"":""Point"",""coordinates"":[76.346736,30.736864]}"
4,-0.0581091157866736,-0.1337408909512691,0.40945319726165547,0.2152322176830546,4,"{""type"":""Point"",""coordinates"":[76.355685,30.836809000000006]}"
5,-0.032633550980574855,-0.08527572951520228,0.453368852210969,0.2342336380360629,5,"{""type"":""Point"",""coordinates"":[76.284042,30.760938000000003]}"
6,-0.014447725346579602,-0.08504399119888861,0.44773615633008645,0.2801352270813263,6,"{""type"":""Point"",""coordinates"":[76.340828,30.800969000000002]}"
7,-0.03344480880302786,-0.09812011367378967,0.44364075878078324,0.2654484313500296,7,"{""type"":""Point"",""coordinates"":[76.391309,30.793208]}"
8,-0.11778417006194801,-0.18795711546067764,0.5079684552817262,0.299125323653121,8,"{""type"":""Point"",""coordinates"":[76.358767,30.84449800000001]}"
9,-0.1144708497115515,-0.20152774567122267,0.501403708648911,0.3128941826628626,9,"{""type"":""Point"",""coordinates"":[76.34933,30.75841099999999]}"
10,-0.06047061378407052,-0.11974550807525448,0.48792271444270546,0.2916265674331553,10,"{""type"":""Point"",""coordinates"":[76.389095,30.73289700000001]}"
11,-0.17177200336252005,-0.2193700016132766,0.6900821072809019,0.4494143648913164,11,"{""type"":""Point"",""coordinates"":[76.313547,30.815497000000004]}"
12,-0.038407154369014526,-0.06796115215406326,0.48846495430685205,0.22766749580994713,12,"{""type"":""Point"",""coordinates"":[76.29917,30.782301999999998]}"
13,0.02641695422828152,-0.029121855947631232,0.4059678477408255,0.24067129411028698,13,"{""type"":""Point"",""coordinates"":[76.36776,30.811888000000003]}"
14,0.031677747314606215,-0.022178083787306586,0.3631548047342717,0.22040962614303156,14,"{""type"":""Point"",""coordinates"":[76.33063600000001,30.823257]}"
15,-0.16817296331820308,-0.24559561249735043,0.5702309210949221,0.3461813248756404,15,"{""type"":""Point"",""coordinates"":[76.35071,30.782785]}"
16,0.05746759095847539,0.029296438677529013,0.3249370418895761,0.18933464510695602,16,"{""type"":""Point"",""coordinates"":[76.372366,30.764805]}"
17,-0.2594843352983016,-0.3245364443825639,0.6939191111242622,0.4240251213939299,17,"{""type"":""Point"",""coordinates"":[76.400084,30.814164]}"
18,-0.020345476707389596,-0.08475979796625063,0.3742567140182037,0.20422444413871477,18,"{""type"":""Point"",""coordinates"":[76.293048,30.751473]}"
19,-0.08178217888046808,-0.114773957069694,0.6089044290530101,0.2869976813171997,19,"{""type"":""Point"",""coordinates"":[76.379498,30.835037000000003]}"
20,-0.1365688442738569,-0.20399999329447732,0.5480552882431176,0.31531253335009796,20,"{""type"":""Point"",""coordinates"":[76.320512,30.797484999999998]}"
21,-0.23783336431880805,-0.2898550558365008,0.6957427705522351,0.4193683347987004,21,"{""type"":""Point"",""coordinates"":[76.364319,30.779165]}"
22,-0.17615174424207564,-0.2514080758190622,0.5717041607755772,0.3288532544940024,22,"{""type"":""Point"",""coordinates"":[76.383491,30.757416]}"
23,0.06347454611499156,0.013484300679692342,0.2650475173163056,0.17137005053134982,23,"{""type"":""Point"",""coordinates"":[76.420107,30.808456]}"
24,-0.08943745937430304,-0.13205535376789315,0.5484340797380912,0.2916343829812578,24,"{""type"":""Point"",""coordinates"":[76.30854,30.765189]}"
25,0.013443054936717895,-0.02852699007596578,0.3768443096640767,0.2066176083998491,25,"{""type"":""Point"",""coordinates"":[76.34454300000002,30.818382]}"
26,0.03421393272326914,-0.004295650722167154,0.26586145093904,0.16697669535679371,26,"{""type"":""Point"",""coordinates"":[76.33762,30.791748]}"
27,-0.11916280866130102,-0.17139557094404798,0.5741890912086286,0.31602937411670573,27,"{""type"":""Point"",""coordinates"":[76.358767,30.80243]}"
28,-0.16517647457012807,-0.23735487164165361,0.5972892121204683,0.3889832037951967,28,"{""type"":""Point"",""coordinates"":[76.37697,30.77359600000001]}"
29,-0.11953188239132506,-0.18621507147510513,0.5826858857228142,0.33804500274936333,29,"{""type"":""Point"",""coordinates"":[76.397871,30.827179]}"
30,-0.20537974369235987,-0.2683361277251515,0.6570541873719044,0.42979190884835305,30,"{""type"":""Point"",""coordinates"":[76.279449,30.786223999999997]}"
31,-0.03636493342964527,-0.13897341731392798,0.3837811162288375,0.2578668407751447,31,"{""type"":""Point"",""coordinates"":[76.386681,30.799429]}"
32,-0.27063140959921317,-0.33247728860546405,0.709735004246616,0.4486200415261551,32,"{""type"":""Point"",""coordinates"":[76.325111,30.809349]}"
33,-0.13083435193471338,-0.20444860917694077,0.5748844916984654,0.3655375115314883,33,"{""type"":""Point"",""coordinates"":[76.352924,30.795671]}"
34,-0.14067500134509314,-0.24432036692315273,0.5306098340215364,0.364407707205249,34,"{""type"":""Point"",""coordinates"":[76.371575,30.785739000000003]}"
35,-0.12891567467348242,-0.18370485698436084,0.6008316148936949,0.3298250178344847,35,"{""type"":""Point"",""coordinates"":[76.414724,30.793208]}"
36,-0.06742084297554207,-0.08983159828849521,0.487441490027276,0.23370528177828986,36,"{""type"":""Point"",""coordinates"":[76.290846,30.760938000000003]}"
37,-0.22471800040000275,-0.2740793889998219,0.6844275156072301,0.39703175005614666,37,"{""type"":""Point"",""coordinates"":[76.347527,30.826694000000003]}"
38,-0.1922323191106091,-0.2643141079798939,0.5921129971078022,0.3593712772881172,38,"{""type"":""Point"",""coordinates"":[76.33284900000001,30.808856]}"
39,0.03912146661685465,-0.011036476204351118,0.3708523304150681,0.2117909470075473,39,"{""type"":""Point"",""coordinates"":[76.357976,30.775056]}"
40,-0.08892036982646644,-0.17118663240746576,0.4792851162880687,0.3054181414018033,40,"{""type"":""Point"",""coordinates"":[76.374157,30.801461]}"
41,-0.06692598806252444,-0.1433353135044033,0.47683752994153206,0.2811361826133511,41,"{""type"":""Point"",""coordinates"":[76.405477,30.820327]}"
42,0.031801389668844084,-0.001154087638777276,0.3389928804476639,0.17358230511100703,42,"{""type"":""Point"",""coordinates"":[76.30217300000001,30.771652]}"
43,-0.21352734482794614,-0.279066833265437,0.6268343930375221,0.35988520385022416,43,"{""type"":""Point"",""coordinates"":[76.346736,30.839607]}"
44,-0.012116395584227262,-0.07787852919781779,0.3969736058022992,0.2281643252854011,44,"{""type"":""Point"",""coordinates"":[76.335051,30.796639999999996]}"
45,-0.07915092705247549,-0.1362411252556721,0.48836462278263915,0.28122111614719336,45,"{""type"":""Point"",""coordinates"":[76.360969,30.79223899999999]}"
46,-0.1469292106350751,-0.21412964306456425,0.5843497637848543,0.33920800470676826,46,"{""type"":""Point"",""coordinates"":[76.378707,30.769707]}"
47,-0.11212581645711578,-0.17711892368709892,0.5575324241516861,0.34018506681933736,47,"{""type"":""Point"",""coordinates"":[76.402475,30.795187000000006]}"
48,0.017958325344690787,-0.033487612217654325,0.3689145272219584,0.19741411940534648,48,"{""type"":""Point"",""coordinates"":[76.287243,30.754425000000005]}"
49,-0.29312603265778353,-0.3490825395844572,0.7254326738002901,0.44113448474974704,49,"{""type"":""Point"",""coordinates"":[76.34454300000002,30.831585999999994]}"
50,-0.0737056972883365,-0.14685000417662414,0.5073322715566665,0.30669813010934754,50,"{""type"":""Point"",""coordinates"":[76.339833,30.813194999999997]}"
51,-0.026792682794788518,-0.09866077030597599,0.3939205168126791,0.23091685732179557,51,"{""type"":""Point"",""coordinates"":[76.36238,30.758895000000003]}"
52,-0.04254411665984094,-0.10080958401947751,0.5214592247230266,0.3088235325945493,52,"{""type"":""Point"",""coordinates"":[76.383491,30.782784999999993]}"
53,-0.04817906865397618,-0.09717545578380705,0.4680998648510191,0.2568493222532755,53,"{""type"":""Point"",""coordinates"":[76.418705,30.815981999999995]}"
54,-0.03219240798381334,-0.10158189200135512,0.4024633792426177,0.22657420952844182,54,"{""type"":""Point"",""coordinates"":[76.296042,30.779165000000006]}"
55,-0.04426855659269154,-0.11389734341699158,0.47242337695063835,0.2961583053934389,55,"{""type"":""Point"",""coordinates"":[76.34933,30.843043999999995]}"
56,-0.13693624478137972,-0.21773608492594793,0.5497782315655095,0.3260475057384878,56,"{""type"":""Point"",""coordinates"":[76.338426,30.804860000000005]}"
57,0.0012408060920492635,-0.05604380958380909,0.4140302622251413,0.24563259194824041,57,"{""type"":""Point"",""coordinates"":[76.364319,30.786708000000004]}"
58,-0.046168493625196566,-0.10886992125967261,0.46548188681299646,0.2577592684105061,58,"{""type"":""Point"",""coordinates"":[76.381289,30.767277000000004]}"
59,-0.0055782275858297465,-0.0633494665892351,0.4155167331792633,0.24603560071580047,59,"{""type"":""Point"",""coordinates"":[76.409279,30.811403]}"
60,-0.03493322825355527,-0.0806638023515194,0.46750522406241846,0.2552785425921275,60,"{""type"":""Point"",""coordinates"":[76.303787,30.773112000000005]}"
61,-0.06144587765352187,-0.14632405222249067,0.42396924129020847,0.25666486363237895,61,"{""type"":""Point"",""coordinates"":[76.34933,30.851289000000005]}"
62,-0.29275408276173465,-0.401533958389043,0.6056930697908057,0.4060287609224564,62,"{""type"":""Point"",""coordinates"":[76.33762,30.797485]}"
63,-0.009220178635198976,-0.07792982891587626,0.41474079902752475,0.24286760201156954,63,"{""type"":""Point"",""coordinates"":[76.36511,30.79797]}"
64,-0.1995677186973097,-0.25639284790098643,0.6548435054358649,0.39443445680703304,64,"{""type"":""Point"",""coordinates"":[76.383491,30.773111999999998]}"
65,-0.25921966697338644,-0.3098499590145171,0.7191780920951296,0.4444967141572842,65,"{""type"":""Point"",""coordinates"":[76.415515,30.801946000000004]}"
66,-0.09209302815570895,-0.14982579586032546,0.5187376708447229,0.29432977284771655,66,"{""type"":""Point"",""coordinates"":[76.291637,30.767762]}"
67,-0.09350464905821922,-0.17650912111746767,0.4699945655067797,0.2982344961294294,67,"{""type"":""Point"",""coordinates"":[76.347527,30.829124]}"
68,-0.12291550918819776,-0.22280473674902054,0.4621532815002099,0.2700384707571787,68,"{""type"":""Point"",""coordinates"":[76.335842,30.808856]}"
69,-0.031214302550920548,-0.09889516581186093,0.40041206418900405,0.22105660834766747,69,"{""type"":""Point"",""coordinates"":[76.360179,30.788654]}"
70,-0.021614593445838142,-0.10423092819686135,0.3633519329933844,0.23090888666915893,70,"{""type"":""Point"",""coordinates"":[76.379498,30.770192]}"
71,-0.057928625774898525,-0.09026713522591043,0.5395621058212098,0.2554916879170688,71,"{""type"":""Point"",""coordinates"":[76.411481,30.801946000000004]}"
72,-0.08984078577812363,-0.1538661899743309,0.4812834043495852,0.2702702591839966,72,"{""type"":""Point"",""coordinates"":[76.300762,30.75942300000001]}"
73,-0.12779224603521086,-0.2094951859843143,0.5462496605967376,0.35238800829702355,73,"{""type"":""Point"",""coordinates"":[76.348318,30.844013]}"
74,-0.12157151779850395,-0.22002764381791481,0.515270428024667,0.3471326859226259,74,"{""type"":""Point"",""coordinates"":[76.33762,30.79991400000001]}"
75,-0.010153558986122338,-0.10688950361628627,0.35641667449378317,0.216149398632026,75,"{""type"":""Point"",""coordinates"":[76.36511,30.784269000000005]}"
76,-0.19056361447956832,-0.24991374635319993,0.6511698549367857,0.387709559094524,76,"{""type"":""Point"",""coordinates"":[76.38208,30.769221999999996]}"
77,0.039161602958950395,-0.03654485132068971,0.26572007684425236,0.14815279760924555,77,"{""type"":""Point"",""coordinates"":[76.409279,30.795187000000006]}"
78,-0.21408146067056635,-0.28191423083474915,0.6245161208451477,0.3585185155205711,78,"{""type"":""Point"",""coordinates"":[76.289045,30.755878999999993]}"
79,-0.13588269857631405,-0.21055511907337848,0.5552117162828106,0.34604594694554286,79,"{""type"":""Point"",""coordinates"":[76.345334,30.833531]}"
80,0.06353750060790965,0.043555824993785464,0.2183298555493153,0.11317976442416008,80,"{""type"":""Point"",""coordinates"":[76.340039,30.81368]}"
81,-0.22037757034426644,-0.2668857247965004,0.6518565511901168,0.37799043152951883,81,"{""type"":""Point"",""coordinates"":[76.36238,30.76190800000001]}"
82,-0.11172083970643422,-0.19277386702275887,0.5193708037991319,0.31714692135748357,82,"{""type"":""Point"",""coordinates"":[76.384282,30.784754]}"
83,-0.09483336137055164,-0.17462011672642425,0.4567697337291342,0.2582404006216502,83,"{""type"":""Point"",""coordinates"":[76.41711400000001,30.815981999999995]}"
84,0.008752029196422397,-0.05955693769738689,0.4081964676333175,0.2469419343297049,84,"{""type"":""Point"",""coordinates"":[76.296832,30.775541]}"
85,0.009639845817626612,-0.055204406348070466,0.4166902443638625,0.2588752257958006,85,"{""type"":""Point"",""coordinates"":[76.35012,30.845958]}"
86,-0.080503253304531,-0.16074585589065407,0.48592965401714133,0.3230512363806832,86,"{""type"":""Point"",""coordinates"":[76.33762,30.80094]}"
87,-0.07366680177531688,-0.1450803052675964,0.5253214653725817,0.340823991082439,87,"{""type"":""Point"",""coordinates"":[76.36616,30.78962299999999]}"
88,-0.12087697409575246,-0.18217794516319502,0.554212828149119,0.3103772422533547,88,"{""type"":""Point"",""coordinates"":[76.381289,30.768246999999995]}"
89,0.05640271517058928,0.01264173095677067,0.34017336959273753,0.18427778037718034,89,"{""type"":""Point"",""coordinates"":[76.405477,30.810918000000008]}"
90,-0.033181242293605126,-0.0909617464920543,0.42381851748994925,0.2199476738268939,90,"{""type"":""Point"",""coordinates"":[76.294631,30.76190800000001]}"
91,-0.19315894772739892,-0.2927308289450101,0.5804643742036036,0.3729850180465978,91,"{""type"":""Point"",""coordinates"":[76.347527,30.855210999999997]}"
92,0.12458539735958161,0.09605950013031146,0.18555418726182074,0.09049805104819231,92,"{""type"":""Point"",""coordinates"":[76.336633,30.807887]}"
93,-0.13800906406043129,-0.22133833692514998,0.5252009000867249,0.32012468286711115,93,"{""type"":""Point"",""coordinates"":[76.36238,30.793693000000005]}"
94,-0.10420917527592896,-0.1645962798144695,0.5703012012078172,0.32768833761344496,94,"{""type"":""Point"",""coordinates"":[76.380498,30.771652000000007]}"
95,-0.1625567762280742,-0.23301375549853,0.5993511650157961,0.38228531497678386,95,"{""type"":""Point"",""coordinates"":[76.413933,30.800456]}"
96,0.07601460858481178,0.041922412844555536,0.35375532079237987,0.18649070340148696,96,"{""type"":""Point"",""coordinates"":[76.285041,30.756848]}"
97,-0.23020587677502574,-0.28769843037042797,0.6724110292539253,0.3863594479480702,97,"{""type"":""Point"",""coordinates"":[76.343752,30.827179000000008]}"
98,-0.04938581241611015,-0.11711712667296235,0.4899866453235886,0.29595006361988463,98,"{""type"":""Point"",""coordinates"":[76.340039,30.812226000000003]}"
99,-0.06247511964141153,-0.11560692598433595,0.46001438960487256,0.2463348647936639,99,"{""type"":""Point"",""coordinates"":[76.36159,30.760454000000003]}"
100,-0.08707965785087142,-0.15346651971658307,0.5185643597736969,0.30539358502291375,100,"{""type"":""Point"",""coordinates"":[76.384282,30.778196000000005]}"
101,0.0276697344831744,-0.02616765839021191,0.43022293150967944,0.27157417134210815,101,"{""type"":""Point"",""coordinates"":[76.418705,30.813194999999997]}"
102,-0.03536529554218252,-0.10705622240648677,0.4509261955411375,0.28391552367940986,102,"{""type"":""Point"",""coordinates"":[76.297623,30.77650999999999]}"
103,-0.2818157218388205,-0.342314485975434,0.715253278999219,0.444987419498291,103,"{""type"":""Point"",""coordinates"":[76.34933,30.841099000000003]}"
104,-0.20670163947818804,-0.2827779706767665,0.6351505237394602,0.3626199954785197,104,"{""type"":""Point"",""coordinates"":[76.335842,30.803406]}"
105,-0.0898479132787214,-0.16140733692020548,0.4821786964438509,0.2844184341531467,105,"{""type"":""Point"",""coordinates"":[76.36238,30.788169000000003]}"
106,-0.2084998431873351,-0.26255580093630637,0.658800549943101,0.39479374029898884,106,"{""type"":""Point"",""coordinates"":[76.381289,30.766308000000002]}"
107,-0.07856612412490273,-0.16566658866850056,0.43411970857814963,0.24998458793395933,107,"{""type"":""Point"",""coordinates"":[76.408488,30.808856]}"
108,0.05576807660768985,0.02225932540525749,0.382376052907447,0.193317406095468,108,"{""type"":""Point"",""coordinates"":[76.292428,30.762876999999996]}"
109,-0.011788420426966003,-0.07159830298878596,0.46828990040670426,0.2907876085456902,109,"{""type"":""Point"",""coordinates"":[76.348318,30.84887600000001]}"
